time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,distance,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
220.011383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031761,0.040783,0.140698,-0.010010,0.006348,-0.005615,0.000000,0,-230,-408,0
220.021149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031704,0.040849,0.140698,-0.006348,-0.000732,0.008545,0.000000,0,-230,-408,0
220.030914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031705,0.040848,0.140760,-0.007324,0.003174,-0.002441,0.000000,0,-230,-408,0
220.040680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031523,0.040861,0.140756,-0.017090,0.003174,-0.006104,0.000000,0,-230,-408,0
220.050446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031523,0.040861,0.140756,0.009033,0.003174,0.007080,0.000000,0,-230,-408,0
220.060211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031705,0.040848,0.140760,0.021240,0.000488,-0.000977,0.000000,0,-230,-408,0
220.069977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031766,0.040844,0.140761,-0.014893,-0.004395,-0.009766,0.000000,0,-230,-408,0
220.079742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031704,0.040849,0.140698,0.004150,0.000488,0.009521,0.000000,0,-230,-408,0
220.089508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031768,0.040843,0.140823,-0.020264,0.000488,0.004395,0.000000,0,-230,-408,0
220.099274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031459,0.040803,0.140815,-0.026611,-0.003906,-0.006104,0.000000,0,-230,-408,0
220.109039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031459,0.040803,0.140815,0.010742,0.006836,0.008057,0.000000,0,-230,-408,0
