x_east_m,y_north_m,lat,lon,mnt_m,mns_m,mnh_m
300.0,290.0,48.8130551,7.8557922,141.26,152.83,11.57
-300.0,280.0,48.8129653,7.8476078,144.01,144.01,0.01
-290.0,280.0,48.8129653,7.8477442,143.87,143.87,0.0
-280.0,280.0,48.8129653,7.8478806,143.41,159.13,15.72
-270.0,280.0,48.8129653,7.848017,143.29,148.83,5.53
-260.0,280.0,48.8129653,7.8481534,143.31,152.17,8.86
-250.0,280.0,48.8129653,7.8482898,143.23,148.64,5.41
-240.0,280.0,48.8129653,7.8484262,143.08,151.53,8.44
-230.0,280.0,48.8129653,7.8485626,143.13,146.2,3.08
-220.0,280.0,48.8129653,7.848699,143.13,154.56,11.43
-210.0,280.0,48.8129653,7.8488355,143.16,145.84,2.68
-200.0,280.0,48.8129653,7.8489719,143.17,143.22,0.05
-190.0,280.0,48.8129653,7.8491083,143.07,144.81,1.74
-180.0,280.0,48.8129653,7.8492447,143.12,144.56,1.43
-170.0,280.0,48.8129653,7.8493811,143.0,143.0,0.0
-160.0,280.0,48.8129653,7.8495175,142.93,152.45,9.53
-150.0,280.0,48.8129653,7.8496539,142.98,143.9,0.92
-140.0,280.0,48.8129653,7.8497903,142.99,149.14,6.16
-130.0,280.0,48.8129653,7.8499267,142.84,152.19,9.35
-120.0,280.0,48.8129653,7.8500631,142.93,143.12,0.19
-110.0,280.0,48.8129653,7.8501995,142.82,145.17,2.35
-100.0,280.0,48.8129653,7.8503359,142.53,147.89,5.36
-90.0,280.0,48.8129653,7.8504723,142.68,152.2,9.52
-80.0,280.0,48.8129653,7.8506087,142.63,142.63,0.0
-70.0,280.0,48.8129653,7.8507452,142.6,142.6,0.0
-60.0,280.0,48.8129653,7.8508816,142.61,142.61,0.0
-50.0,280.0,48.8129653,7.851018,142.61,142.61,0.0
-40.0,280.0,48.8129653,7.8511544,142.73,155.75,13.02
-30.0,280.0,48.8129653,7.8512908,142.67,155.52,12.85
-20.0,280.0,48.8129653,7.8514272,142.62,157.25,14.63
-10.0,280.0,48.8129653,7.8515636,142.7,158.71,16.01
0.0,280.0,48.8129653,7.8517,142.56,159.66,17.1
10.0,280.0,48.8129653,7.8518364,142.54,158.43,15.89
20.0,280.0,48.8129653,7.8519728,142.48,158.36,15.88
30.0,280.0,48.8129653,7.8521092,142.55,159.63,17.08
40.0,280.0,48.8129653,7.8522456,142.55,156.39,13.84
50.0,280.0,48.8129653,7.852382,142.58,147.87,5.29
60.0,280.0,48.8129653,7.8525184,142.57,142.57,0.0
70.0,280.0,48.8129653,7.8526548,142.7,142.7,0.0
80.0,280.0,48.8129653,7.8527913,142.45,142.45,0.0
90.0,280.0,48.8129653,7.8529277,142.43,142.43,0.0
100.0,280.0,48.8129653,7.8530641,142.47,142.47,0.0
110.0,280.0,48.8129653,7.8532005,142.42,142.42,0.0
120.0,280.0,48.8129653,7.8533369,142.3,142.3,0.0
130.0,280.0,48.8129653,7.8534733,142.36,142.36,0.0
140.0,280.0,48.8129653,7.8536097,142.36,142.36,0.0
150.0,280.0,48.8129653,7.8537461,142.22,152.04,9.82
160.0,280.0,48.8129653,7.8538825,142.37,142.37,0.0
170.0,280.0,48.8129653,7.8540189,142.24,142.24,0.0
180.0,280.0,48.8129653,7.8541553,142.26,142.26,0.0
190.0,280.0,48.8129653,7.8542917,142.23,142.23,0.0
200.0,280.0,48.8129653,7.8544281,142.19,142.19,0.0
210.0,280.0,48.8129653,7.8545645,142.23,142.23,0.0
220.0,280.0,48.8129653,7.854701,142.34,142.34,0.0
230.0,280.0,48.8129653,7.8548374,142.34,142.34,0.0
240.0,280.0,48.8129653,7.8549738,142.17,142.17,0.0
250.0,280.0,48.8129653,7.8551102,142.15,142.15,0.0
260.0,280.0,48.8129653,7.8552466,142.08,148.54,6.46
270.0,280.0,48.8129653,7.855383,142.09,142.09,0.0
280.0,280.0,48.8129653,7.8555194,142.11,142.11,0.0
290.0,280.0,48.8129653,7.8556558,142.12,142.12,0.0
300.0,280.0,48.8129653,7.8557922,142.1,142.56,0.45
-300.0,270.0,48.8128754,7.8476078,143.63,147.76,4.13
-290.0,270.0,48.8128754,7.8477442,143.82,144.95,1.13
-280.0,270.0,48.8128754,7.8478806,143.73,153.22,9.49
-270.0,270.0,48.8128754,7.848017,143.52,147.03,3.51
-260.0,270.0,48.8128754,7.8481534,143.29,152.98,9.69
-250.0,270.0,48.8128754,7.8482898,143.36,149.88,6.52
-240.0,270.0,48.8128754,7.8484262,143.26,150.72,7.46
-230.0,270.0,48.8128754,7.8485626,143.1,145.23,2.13
-220.0,270.0,48.8128754,7.848699,143.08,143.57,0.5
-210.0,270.0,48.8128754,7.8488355,143.26,145.9,2.65
-200.0,270.0,48.8128754,7.8489719,143.12,143.53,0.41
-190.0,270.0,48.8128754,7.8491083,143.09,149.86,6.78
-180.0,270.0,48.8128754,7.8492447,143.07,143.8,0.73
-170.0,270.0,48.8128754,7.8493811,143.02,152.41,9.38
-160.0,270.0,48.8128754,7.8495175,142.97,144.78,1.81
-150.0,270.0,48.8128754,7.8496539,143.14,143.7,0.55
-140.0,270.0,48.8128754,7.8497903,142.91,143.05,0.14
-130.0,270.0,48.8128754,7.8499267,142.88,142.88,0.0
-120.0,270.0,48.8128754,7.8500631,142.87,142.87,0.0
-110.0,270.0,48.8128754,7.8501995,142.76,145.62,2.86
-100.0,270.0,48.8128754,7.8503359,142.62,151.43,8.81
-90.0,270.0,48.8128754,7.8504723,142.72,151.92,9.2
-80.0,270.0,48.8128754,7.8506087,142.6,142.6,0.0
-70.0,270.0,48.8128754,7.8507452,142.64,142.64,0.0
-60.0,270.0,48.8128754,7.8508816,142.6,142.6,0.0
-50.0,270.0,48.8128754,7.851018,142.55,142.55,0.0
-40.0,270.0,48.8128754,7.8511544,142.6,154.77,12.17
-30.0,270.0,48.8128754,7.8512908,142.67,156.66,13.98
-20.0,270.0,48.8128754,7.8514272,142.67,158.5,15.83
-10.0,270.0,48.8128754,7.8515636,142.59,150.91,8.32
0.0,270.0,48.8128754,7.8517,142.57,142.57,0.0
10.0,270.0,48.8128754,7.8518364,142.54,154.83,12.29
20.0,270.0,48.8128754,7.8519728,142.67,156.86,14.19
30.0,270.0,48.8128754,7.8521092,142.57,156.45,13.89
40.0,270.0,48.8128754,7.8522456,142.71,142.71,0.0
50.0,270.0,48.8128754,7.852382,142.7,154.16,11.46
60.0,270.0,48.8128754,7.8525184,142.6,142.6,0.0
70.0,270.0,48.8128754,7.8526548,142.58,142.58,0.0
80.0,270.0,48.8128754,7.8527913,142.36,142.36,0.0
90.0,270.0,48.8128754,7.8529277,142.39,142.39,0.0
100.0,270.0,48.8128754,7.8530641,142.58,142.58,0.0
110.0,270.0,48.8128754,7.8532005,142.31,142.31,0.0
120.0,270.0,48.8128754,7.8533369,142.37,142.37,0.0
130.0,270.0,48.8128754,7.8534733,142.34,142.34,0.0
140.0,270.0,48.8128754,7.8536097,142.27,142.27,0.0
150.0,270.0,48.8128754,7.8537461,142.32,142.32,0.0
160.0,270.0,48.8128754,7.8538825,142.32,142.32,0.0
170.0,270.0,48.8128754,7.8540189,142.33,142.33,0.0
180.0,270.0,48.8128754,7.8541553,142.24,142.24,0.0
190.0,270.0,48.8128754,7.8542917,142.29,142.29,0.0
200.0,270.0,48.8128754,7.8544281,142.21,142.21,0.0
210.0,270.0,48.8128754,7.8545645,142.29,142.29,0.0
220.0,270.0,48.8128754,7.854701,142.2,142.2,0.0
230.0,270.0,48.8128754,7.8548374,142.06,142.06,0.0
240.0,270.0,48.8128754,7.8549738,142.16,142.16,0.0
250.0,270.0,48.8128754,7.8551102,142.21,142.21,0.0
260.0,270.0,48.8128754,7.8552466,142.14,142.14,0.0
270.0,270.0,48.8128754,7.855383,142.13,142.13,0.0
280.0,270.0,48.8128754,7.8555194,142.25,142.25,0.0
290.0,270.0,48.8128754,7.8556558,142.13,142.13,0.0
300.0,270.0,48.8128754,7.8557922,142.13,142.13,-0.0
-300.0,260.0,48.8127856,7.8476078,143.51,144.05,0.54
-290.0,260.0,48.8127856,7.8477442,143.62,150.77,7.15
-280.0,260.0,48.8127856,7.8478806,143.85,156.67,12.82
-270.0,260.0,48.8127856,7.848017,143.76,153.76,10.01
-260.0,260.0,48.8127856,7.8481534,143.58,151.17,7.59
-250.0,260.0,48.8127856,7.8482898,143.37,145.53,2.16
-240.0,260.0,48.8127856,7.8484262,143.37,144.13,0.76
-230.0,260.0,48.8127856,7.8485626,143.16,145.2,2.04
-220.0,260.0,48.8127856,7.848699,143.14,147.7,4.56
-210.0,260.0,48.8127856,7.8488355,143.11,147.47,4.36
-200.0,260.0,48.8127856,7.8489719,143.14,144.32,1.18
-190.0,260.0,48.8127856,7.8491083,143.18,148.6,5.42
-180.0,260.0,48.8127856,7.8492447,143.07,143.07,0.0
