Msg_id: 1, Timestamp: 238.484330, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.484343, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.486948, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.486973, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.486986, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.489503, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.489524, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.489537, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.492148, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.492173, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.492186, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.494947, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.494971, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.494984, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.497514, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.497539, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.497552, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.500157, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.500182, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.500195, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.502794, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.502815, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.502828, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.505433, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.505458, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.505471, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.508055, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.508079, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.508092, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.510681, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.510706, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.510719, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.513245, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.513266, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.513279, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.515946, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.515971, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.515983, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.518566, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.518591, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.518603, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.521195, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.521221, Beacon ID: 1636, Seen Count: 2
Msg_id: 1, Timestamp: 238.521234, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.587633, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.587692, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.587705, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.587884, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.587903, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.587916, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.588030, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.588047, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.588059, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.588185, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.588201, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.588214, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.588411, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.588428, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.588441, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.588701, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.588718, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.588730, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.589003, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.589022, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.589034, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.589248, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.589267, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.589280, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.589494, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.589513, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.589526, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.589646, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.589662, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.589674, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.589884, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.589899, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.589912, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.590237, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.590263, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.590276, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.590448, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.590465, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.590486, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.590693, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.590710, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.590723, Beacon ID: 1645, Seen Count: 1
Msg_id: 1, Timestamp: 238.590967, Beacon ID: 1632, Seen Count: 2
Msg_id: 1, Timestamp: 238.590982, Beacon ID: 1636, Seen Count: 3
Msg_id: 1, Timestamp: 238.591019, Beacon ID: 1645, Seen Count: 1
