time,ACT_1,ACT_2,ACT_3,ACT_4,ACT_5,ACT_6,rate_p,rate_q,rate_r,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,g1g2[1][4], g1g2[1][5],  g1g2[2][4], g1g2[2][5],airspeed,guidance_cmd.phi, guidance_cmd.theta, guidance_cmd.psi,sp_accel.x, sp_accel.y, sp_accel.z,speed_sp.x, speed_sp.y, speed_sp.z,use_increment,cmd_roll,cmd_pitch,cmd_thrust,cmd_psi
12.013192,4500.000000,4500.000000,-9600.000000,-9600.000000,1535.699707,-1428.196899,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.029350,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.060522,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.015146,4500.000000,4500.000000,-9600.000000,-9600.000000,1554.759033,-1447.239380,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.029402,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.060522,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.017100,4500.000000,4500.000000,-9600.000000,-9600.000000,1573.999268,-1466.455444,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.029594,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.019054,4500.000000,4500.000000,-9600.000000,-9600.000000,1593.406982,-1485.844482,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.025196,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.021008,2509.833008,2526.250000,-9600.000000,-9600.000000,889.836365,-852.955688,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.025276,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.022962,-715.099365,-688.611023,-9600.000000,-9600.000000,-229.571854,223.076431,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.025087,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.024916,-3964.782227,-3928.105469,-9600.000000,-9600.000000,-1357.638672,1307.257324,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.024937,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.026870,-4500.000000,-4484.400879,-9600.000000,-9600.000000,-1481.592041,1522.038818,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.015625,0.000000,0.000000,0.025036,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.028824,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1430.537109,1538.217163,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.020140,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
12.030778,-4500.000000,-4500.000000,-9600.000000,-9600.000000,-1410.303345,1518.000000,-0.000732,0.000732,-0.000732,-0.007812,0.000000,-0.019531,0.000000,0.000000,0.020208,-0.005074,0.001870,-0.008662,-0.004000,0.004000,0.000200,0.000200,0.000000,-0.216381,-0.216381,0.000000,2.122699,-2.122699,-3.000000,4.800000,-4.800000,-2.936172,0.000000,-0.216381,-0.216381,-2.999996,-0.008672
